Date,Hm0 (m),H 1/10 (m),Hmax (m),Peak Tp (s),Mean Dir (Degree),WS 10m (m/s)
2019-03-01 00:00:00,0.15,0.19,0.25,4.24,109.01,2.453886219
2019-03-01 00:30:00,0.17,0.215,0.28,4.635,106.33,2.683827776
2019-03-01 01:00:00,0.19,0.24,0.31,5.03,103.65,2.876076593
2019-03-01 01:30:00,0.215,0.275,0.355,4.585,138.83,3.41816999
2019-03-01 02:00:00,0.24,0.31,0.4,4.14,174.01,3.657480977
2019-03-01 02:30:00,0.28,0.355,0.46,4.06,102.23,4.210132965
2019-03-01 03:00:00,0.32,0.4,0.52,3.98,30.45,4.794030895
2019-03-01 03:30:00,0.305,0.385,0.495,4.69,86.79,4.621083966
2019-03-01 04:00:00,0.29,0.37,0.47,5.4,143.13,4.446747313
2019-03-01 04:30:00,0.285,0.36,0.46,4.57,117.52,4.309138946
2019-03-01 05:00:00,0.28,0.35,0.45,3.74,91.91,4.312515787
2019-03-01 05:30:00,0.29,0.365,0.47,4.515,120.165,4.487544071
2019-03-01 06:00:00,0.3,0.38,0.49,5.29,148.42,4.670300264
2019-03-01 06:30:00,0.29,0.37,0.475,4.84,168.45,4.573865196
2019-03-01 07:00:00,0.28,0.36,0.46,4.39,188.48,4.650758735
2019-03-01 07:30:00,0.295,0.375,0.48,5.975,179.205,4.924466035
2019-03-01 08:00:00,0.31,0.39,0.5,7.56,169.93,5.24534963
2019-03-01 08:30:00,0.32,0.405,0.52,7.56,171.585,5.343092239
2019-03-01 09:00:00,0.33,0.42,0.54,7.56,173.24,5.628202149
2019-03-01 09:30:00,0.34,0.435,0.56,8.215,174.395,5.899133084
2019-03-01 10:00:00,0.35,0.45,0.58,8.87,175.55,6.189907777
2019-03-01 10:30:00,0.335,0.425,0.55,8.055,170.39,5.885402665
2019-03-01 11:00:00,0.32,0.4,0.52,7.24,165.23,5.610186703
2019-03-01 11:30:00,0.34,0.43,0.55,6.79,166.34,6.011622619
2019-03-01 12:00:00,0.36,0.46,0.58,6.34,167.45,6.287051216
2019-03-01 12:30:00,0.35,0.45,0.57,5.0,106.295,6.411768534
2019-03-01 13:00:00,0.34,0.44,0.56,3.66,45.14,6.390022516
2019-03-01 13:30:00,0.335,0.43,0.545,3.715,65.395,6.326512934
2019-03-01 14:00:00,0.33,0.42,0.53,3.77,85.65,6.013627302
2019-03-01 14:30:00,0.33,0.42,0.535,6.74,118.405,6.35046119
2019-03-01 15:00:00,0.33,0.42,0.54,9.71,151.16,6.674462572
2019-03-01 15:30:00,0.365,0.46,0.59,9.365,157.485,7.090260011
2019-03-01 16:00:00,0.4,0.5,0.64,9.02,163.81,7.685983359
2019-03-01 16:30:00,0.41,0.515,0.66,8.865,166.71,6.275882467
2019-03-01 17:00:00,0.42,0.53,0.68,8.71,169.61,6.681663451
2019-03-01 17:30:00,0.38,0.48,0.615,8.64,170.3,5.474535512
2019-03-01 18:00:00,0.34,0.43,0.55,8.57,170.99,5.514955371
2019-03-01 18:30:00,0.34,0.43,0.55,9.14,173.655,6.727276858
2019-03-01 19:00:00,0.34,0.43,0.55,9.71,176.32,6.652594321
2019-03-01 19:30:00,0.355,0.45,0.57,9.8,179.665,6.778960683
2019-03-01 20:00:00,0.37,0.47,0.59,9.89,183.01,7.035617811
2019-03-01 20:30:00,0.385,0.49,0.615,8.515,176.28,7.270271066
2019-03-01 21:00:00,0.4,0.51,0.64,7.14,169.55,7.79824019
2019-03-01 21:30:00,0.385,0.49,0.615,8.515,164.495,7.383107456
2019-03-01 22:00:00,0.37,0.47,0.59,9.89,159.44,7.09711551
2019-03-01 22:30:00,0.37,0.47,0.59,9.535,162.455,6.907873994
2019-03-01 23:00:00,0.37,0.47,0.59,9.18,165.47,6.954497921
2019-03-01 23:30:00,0.34,0.43,0.54,9.535,163.905,6.371580931
2019-03-02 00:00:00,0.31,0.39,0.49,9.89,162.34,5.674238225
2019-03-02 00:30:00,0.3,0.38,0.48,9.16,152.855,5.486181645
2019-03-02 01:00:00,0.29,0.37,0.47,8.43,143.37,5.559047082
2019-03-02 01:30:00,0.325,0.415,0.525,8.805,174.35,6.286891899
2019-03-02 02:00:00,0.36,0.46,0.58,9.18,205.33,6.933508393
2019-03-02 02:30:00,0.36,0.46,0.585,6.66,171.27,7.002824087
