Date,Hm0 (m),H 1/10 (m),Hmax (m),Peak Tp (s),Mean Dir (Degree),WS 10m (m/s)
2019-08-01 00:00:00,0.21,0.26,0.34,4.93,158.44,3.993635361
2019-08-01 00:30:00,0.205,0.26,0.335,5.985,131.095,3.912714704
2019-08-01 01:00:00,0.2,0.26,0.33,7.04,103.75,3.849809532
2019-08-01 01:30:00,0.205,0.26,0.335,5.39,118.74,3.939364708
2019-08-01 02:00:00,0.21,0.26,0.34,3.74,133.73,4.048977902
2019-08-01 02:30:00,0.21,0.26,0.34,5.205,149.46,3.994963607
2019-08-01 03:00:00,0.21,0.26,0.34,6.67,165.19,4.074443315
2019-08-01 03:30:00,0.21,0.265,0.34,5.22,144.69,3.994345333
2019-08-01 04:00:00,0.21,0.27,0.34,3.77,124.19,3.959932123
2019-08-01 04:30:00,0.215,0.275,0.345,5.405,141.86,3.921141562
2019-08-01 05:00:00,0.22,0.28,0.35,7.04,159.53,4.043317902
2019-08-01 05:30:00,0.24,0.305,0.385,5.64,164.54,4.466139714
2019-08-01 06:00:00,0.26,0.33,0.42,4.24,169.55,4.832012407
2019-08-01 06:30:00,0.285,0.36,0.46,4.43,126.79,5.446836729
2019-08-01 07:00:00,0.31,0.39,0.5,4.62,84.03,5.864080474
2019-08-01 07:30:00,0.325,0.41,0.53,4.56,80.565,6.173012902
2019-08-01 08:00:00,0.34,0.43,0.56,4.5,77.1,6.436779211
2019-08-01 08:30:00,0.335,0.425,0.55,4.37,92.405,6.408202154
2019-08-01 09:00:00,0.33,0.42,0.54,4.24,107.71,6.193791203
2019-08-01 09:30:00,0.315,0.4,0.515,4.61,107.265,5.865338053
2019-08-01 10:00:00,0.3,0.38,0.49,4.98,106.82,5.49451685
2019-08-01 10:30:00,0.28,0.36,0.46,5.405,124.675,5.132310303
2019-08-01 11:00:00,0.26,0.34,0.43,5.83,142.53,4.8789292
2019-08-01 11:30:00,0.285,0.365,0.465,5.165,126.265,5.333109424
2019-08-01 12:00:00,0.31,0.39,0.5,4.5,110.0,5.860899277
2019-08-01 12:30:00,0.305,0.385,0.49,4.5,101.68,5.700742983
2019-08-01 13:00:00,0.3,0.38,0.48,4.5,93.36,5.485154379
2019-08-01 13:30:00,0.29,0.37,0.47,4.625,116.285,5.238590505
2019-08-01 14:00:00,0.28,0.36,0.46,4.75,139.21,5.104219546
2019-08-01 14:30:00,0.28,0.355,0.455,4.71,138.78,5.070996178
2019-08-01 15:00:00,0.28,0.35,0.45,4.67,138.35,4.977714681
2019-08-01 15:30:00,0.265,0.33,0.425,4.545,162.83,4.839215236
2019-08-01 16:00:00,0.25,0.31,0.4,4.42,187.31,4.636577408
2019-08-01 16:30:00,0.25,0.315,0.405,4.055,144.165,4.829694669
2019-08-01 17:00:00,0.25,0.32,0.41,3.69,101.02,5.074266043
2019-08-01 17:30:00,0.285,0.365,0.47,4.29,152.195,5.93196635
2019-08-01 18:00:00,0.32,0.41,0.53,4.89,203.37,6.862308484
2019-08-01 18:30:00,0.32,0.405,0.525,6.115,180.405,6.961370344
2019-08-01 19:00:00,0.32,0.4,0.52,7.34,157.44,6.754680885
2019-08-01 19:30:00,0.305,0.39,0.5,6.21,136.015,6.757347864
2019-08-01 20:00:00,0.29,0.38,0.48,5.08,114.59,6.60808344
2019-08-01 20:30:00,0.27,0.35,0.445,4.75,127.83,6.285387748
2019-08-01 21:00:00,0.25,0.32,0.41,4.42,141.07,5.931150829
2019-08-01 21:30:00,0.26,0.33,0.425,5.23,142.885,6.302134169
2019-08-01 22:00:00,0.27,0.34,0.44,6.04,144.7,6.613048647
2019-08-01 22:30:00,0.26,0.33,0.425,5.465,128.305,6.456119053
2019-08-01 23:00:00,0.25,0.32,0.41,4.89,111.91,6.440921122
2019-08-01 23:30:00,0.235,0.295,0.38,4.565,121.425,6.037288653
2019-08-02 00:00:00,0.22,0.27,0.35,4.24,130.94,5.740700371
2019-08-02 00:30:00,0.205,0.255,0.33,4.54,157.615,5.464035873
2019-08-02 01:00:00,0.19,0.24,0.31,4.84,184.29,5.242411167
2019-08-02 01:30:00,0.19,0.245,0.315,6.775,177.55,5.347721395
2019-08-02 02:00:00,0.19,0.25,0.32,8.71,170.81,5.381867754
2019-08-02 02:30:00,0.19,0.245,0.315,8.57,171.67,5.443571198
2019-08-02 03:00:00,0.19,0.24,0.31,8.43,172.53,5.492056798
2019-08-02 03:30:00,0.18,0.23,0.295,8.295,185.125,5.373224033
2019-08-02 04:00:00,0.17,0.22,0.28,8.16,197.72,5.110712117
2019-08-02 04:30:00,0.18,0.23,0.295,8.59,166.455,5.422682784
2019-08-02 05:00:00,0.19,0.24,0.31,9.02,135.19,5.693768553
2019-08-02 05:30:00,0.195,0.245,0.315,6.425,159.63,5.93859026
2019-08-02 06:00:00,0.2,0.25,0.32,3.83,184.07,6.114527807
2019-08-02 06:30:00,0.245,0.31,0.4,4.055,133.085,7.671880869
2019-08-02 07:00:00,0.29,0.37,0.48,4.28,82.1,9.250000694
2019-08-02 07:30:00,0.33,0.42,0.54,4.495,89.685,10.24438679
2019-08-02 08:00:00,0.37,0.47,0.6,4.71,97.27,11.73536677
2019-08-02 08:30:00,0.335,0.425,0.545,4.755,220.905,10.71118154
2019-08-02 09:00:00,0.3,0.38,0.49,4.8,344.54,9.805364794
2019-08-02 09:30:00,0.275,0.35,0.45,4.915,260.995,9.128805255
2019-08-02 10:00:00,0.25,0.32,0.41,5.03,177.45,8.083894011
2019-08-02 10:30:00,0.27,0.34,0.44,4.52,111.925,8.717290943
2019-08-02 11:00:00,0.29,0.36,0.47,4.01,46.4,9.47736158
2019-08-02 11:30:00,0.275,0.345,0.445,3.865,75.185,9.03843002
2019-08-02 12:00:00,0.26,0.33,0.42,3.72,103.97,8.461709017
2019-08-02 12:30:00,0.255,0.325,0.415,3.93,72.885,8.531228481
2019-08-02 13:00:00,0.25,0.32,0.41,4.14,41.8,8.358744153
2019-08-02 13:30:00,0.265,0.335,0.43,4.06,97.95,8.661992433
2019-08-02 14:00:00,0.28,0.35,0.45,3.98,154.1,9.180596118
2019-08-02 14:30:00,0.28,0.355,0.455,4.095,106.62,9.238207232
2019-08-02 15:00:00,0.28,0.36,0.46,4.21,59.14,9.219836625
2019-08-02 15:30:00,0.285,0.36,0.465,4.175,101.125,9.363992076
2019-08-02 16:00:00,0.29,0.36,0.47,4.14,143.11,9.501412221
2019-08-02 16:30:00,0.28,0.35,0.455,4.3,77.05,9.107863366
2019-08-02 17:00:00,0.27,0.34,0.44,4.46,10.99,8.992790183
2019-08-02 17:30:00,0.26,0.33,0.42,5.48,73.865,8.621784088
2019-08-02 18:00:00,0.25,0.32,0.4,6.5,136.74,8.227763233
2019-08-02 18:30:00,0.265,0.335,0.425,5.605,98.14,8.717347649
2019-08-02 19:00:00,0.28,0.35,0.45,4.71,59.54,9.100927766
2019-08-02 19:30:00,0.235,0.3,0.38,10.68,120.265,7.75656338
2019-08-02 20:00:00,0.19,0.25,0.31,16.65,180.99,6.261212228
2019-08-02 20:30:00,0.195,0.255,0.32,10.745,147.91,6.465837199
2019-08-02 21:00:00,0.2,0.26,0.33,4.84,114.83,6.56227522
2019-08-02 21:30:00,0.2,0.255,0.325,4.595,105.065,6.445381265
2019-08-02 22:00:00,0.2,0.25,0.32,4.35,95.3,6.319606953
