Date,Hm0 (m),H 1/10 (m),Hmax (m),Peak Tp (s),Mean Dir (Degree),WS 10m (m/s)
2019-11-01 00:00:00,0.3,0.38,0.49,3.98,120.16,6.359861241
2019-11-01 00:30:00,0.285,0.365,0.47,4.665,91.605,6.350826627
2019-11-01 01:00:00,0.27,0.35,0.45,5.35,63.05,6.085550469
2019-11-01 01:30:00,0.27,0.345,0.44,5.59,95.935,6.156078281
2019-11-01 02:00:00,0.27,0.34,0.43,5.83,128.82,6.145072462
2019-11-01 02:30:00,0.275,0.345,0.445,5.865,124.7,6.474382319
2019-11-01 03:00:00,0.28,0.35,0.46,5.9,120.58,6.706232136
2019-11-01 03:30:00,0.265,0.335,0.435,4.81,122.18,6.490624134
2019-11-01 04:00:00,0.25,0.32,0.41,3.72,123.78,6.365981263
2019-11-01 04:30:00,0.255,0.325,0.42,4.45,181.775,4.914850265
2019-11-01 05:00:00,0.26,0.33,0.43,5.18,239.77,5.468009709
2019-11-01 05:30:00,0.265,0.335,0.435,4.82,160.115,4.877689975
2019-11-01 06:00:00,0.27,0.34,0.44,4.46,80.46,5.741001117
2019-11-01 06:30:00,0.25,0.315,0.405,4.16,67.83,6.785894585
2019-11-01 07:00:00,0.23,0.29,0.37,3.86,55.2,6.3347728
2019-11-01 07:30:00,0.215,0.27,0.345,4.18,129.755,5.984758943
2019-11-01 08:00:00,0.2,0.25,0.32,4.5,204.31,5.619464649
2019-11-01 08:30:00,0.165,0.21,0.27,8.69,192.415,4.822685777
2019-11-01 09:00:00,0.13,0.17,0.22,12.88,180.52,3.986450718
2019-11-01 09:30:00,0.15,0.195,0.25,8.26,245.405,4.541676141
2019-11-01 10:00:00,0.17,0.22,0.28,3.64,310.29,5.09415215
2019-11-01 10:30:00,0.17,0.22,0.28,8.1,245.445,5.04006202
2019-11-01 11:00:00,0.17,0.22,0.28,12.56,180.6,5.079152784
2019-11-01 11:30:00,0.165,0.21,0.27,12.56,175.33,5.00361141
2019-11-01 12:00:00,0.16,0.2,0.26,12.56,170.06,4.859942428
2019-11-01 12:30:00,0.17,0.215,0.275,8.745,120.47,5.223182899
2019-11-01 13:00:00,0.18,0.23,0.29,4.93,70.88,5.582425885
2019-11-01 13:30:00,0.215,0.275,0.35,4.775,45.085,6.809422546
2019-11-01 14:00:00,0.25,0.32,0.41,4.62,19.29,8.015142095
2019-11-01 14:30:00,0.255,0.325,0.415,4.345,78.96,8.19459271
2019-11-01 15:00:00,0.26,0.33,0.42,4.07,138.63,8.318413811
2019-11-01 15:30:00,0.245,0.31,0.4,4.345,103.11,7.900526135
2019-11-01 16:00:00,0.23,0.29,0.38,4.62,67.59,7.628007384
2019-11-01 16:30:00,0.245,0.31,0.4,4.13,71.27,7.996921043
2019-11-01 17:00:00,0.26,0.33,0.42,3.64,74.95,8.313786848
2019-11-01 17:30:00,0.26,0.33,0.42,3.925,95.735,8.223099214
2019-11-01 18:00:00,0.26,0.33,0.42,4.21,116.52,8.232260311
2019-11-01 18:30:00,0.255,0.325,0.415,4.245,157.81,8.23788653
2019-11-01 19:00:00,0.25,0.32,0.41,4.28,199.1,8.037781706
2019-11-01 19:30:00,0.245,0.31,0.4,4.175,116.205,7.780625233
2019-11-01 20:00:00,0.24,0.3,0.39,4.07,33.31,7.704572421
2019-11-01 20:30:00,0.25,0.315,0.405,4.325,64.345,8.186181896
2019-11-01 21:00:00,0.26,0.33,0.42,4.58,95.38,8.62709012
2019-11-01 21:30:00,0.27,0.34,0.435,4.235,79.06,8.965560157
2019-11-01 22:00:00,0.28,0.35,0.45,3.89,62.74,9.468160536
2019-11-01 22:30:00,0.265,0.335,0.43,4.14,98.25,9.024577184
2019-11-01 23:00:00,0.25,0.32,0.41,4.39,133.76,8.480566132
2019-11-01 23:30:00,0.25,0.32,0.41,4.265,85.695,8.274181492
2019-11-02 00:00:00,0.25,0.32,0.41,4.14,37.63,8.168941548
2019-11-02 00:30:00,0.25,0.32,0.415,3.875,41.28,8.314002586
2019-11-02 01:00:00,0.25,0.32,0.42,3.61,44.93,8.401265869
2019-11-02 01:30:00,0.255,0.325,0.42,4.015,60.145,8.343368671
2019-11-02 02:00:00,0.26,0.33,0.42,4.42,75.36,8.312562525
2019-11-02 02:30:00,0.25,0.315,0.405,4.405,73.19,7.966115873
2019-11-02 03:00:00,0.24,0.3,0.39,4.39,71.02,7.510323686
2019-11-02 03:30:00,0.235,0.3,0.385,4.35,71.165,7.496597316
2019-11-02 04:00:00,0.23,0.3,0.38,4.31,71.31,7.48718522
2019-11-02 04:30:00,0.235,0.3,0.385,4.72,142.365,7.504837703
2019-11-02 05:00:00,0.24,0.3,0.39,5.13,213.42,7.658728488
2019-11-02 05:30:00,0.225,0.285,0.37,4.855,140.745,7.172136508
2019-11-02 06:00:00,0.21,0.27,0.35,4.58,68.07,6.797000252
2019-11-02 06:30:00,0.19,0.245,0.315,4.22,56.655,6.031752902
2019-11-02 07:00:00,0.17,0.22,0.28,3.86,45.24,5.468937389
2019-11-02 07:30:00,0.16,0.205,0.265,3.815,93.285,5.209168679
2019-11-02 08:00:00,0.15,0.19,0.25,3.77,141.33,4.992922773
2019-11-02 08:30:00,0.145,0.185,0.24,3.83,111.095,4.814585766
2019-11-02 09:00:00,0.14,0.18,0.23,3.89,80.86,4.65497182
2019-11-02 09:30:00,0.135,0.17,0.22,3.805,204.125,4.462770288
2019-11-02 10:00:00,0.13,0.16,0.21,3.72,327.39,4.257108537
2019-11-02 10:30:00,0.12,0.145,0.19,3.945,184.09,3.832056795
2019-11-02 11:00:00,0.11,0.13,0.17,4.17,40.79,3.40574391
2019-11-02 11:30:00,0.135,0.165,0.215,4.075,70.93,4.322890446
2019-11-02 12:00:00,0.16,0.2,0.26,3.98,101.07,5.27560261
2019-11-02 12:30:00,0.17,0.215,0.28,3.98,78.405,5.674051832
2019-11-02 13:00:00,0.18,0.23,0.3,3.98,55.74,6.168219312
2019-11-02 13:30:00,0.215,0.275,0.355,4.365,58.99,7.34486237
2019-11-02 14:00:00,0.25,0.32,0.41,4.75,62.24,8.555138062
2019-11-02 14:30:00,0.275,0.35,0.45,4.57,69.63,9.444499192
2019-11-02 15:00:00,0.3,0.38,0.49,4.39,77.02,10.42734431
2019-11-02 15:30:00,0.29,0.365,0.47,4.405,74.395,9.819403693
2019-11-02 16:00:00,0.28,0.35,0.45,4.42,71.77,9.443885932
2019-11-02 16:30:00,0.28,0.355,0.455,4.315,58.815,9.502653891
2019-11-02 17:00:00,0.28,0.36,0.46,4.21,45.86,9.544381146
2019-11-02 17:30:00,0.28,0.36,0.46,4.48,56.755,9.702956701
2019-11-02 18:00:00,0.28,0.36,0.46,4.75,67.65,9.845602198
2019-11-02 18:30:00,0.27,0.345,0.445,4.32,101.845,9.666815693
2019-11-02 19:00:00,0.26,0.33,0.43,3.89,136.04,9.285532923
2019-11-02 19:30:00,0.265,0.34,0.435,3.83,141.285,9.497428679
2019-11-02 20:00:00,0.27,0.35,0.44,3.77,146.53,9.54658495
2019-11-02 20:30:00,0.275,0.355,0.45,4.025,109.19,9.948660088
2019-11-02 21:00:00,0.28,0.36,0.46,4.28,71.85,10.24510684
2019-11-02 21:30:00,0.295,0.375,0.485,4.335,70.265,10.92770408
2019-11-02 22:00:00,0.31,0.39,0.51,4.39,68.68,11.5110584
2019-11-02 22:30:00,0.31,0.39,0.51,4.155,86.15,11.52264604
2019-11-02 23:00:00,0.31,0.39,0.51,3.92,103.62,11.39447424
2019-11-02 23:30:00,0.305,0.385,0.5,3.755,60.95,10.96268939
2019-11-03 00:00:00,0.3,0.38,0.49,3.59,18.28,10.8645914
2019-11-03 00:30:00,0.29,0.365,0.47,4.71,49.185,10.50014687
2019-11-03 01:00:00,0.28,0.35,0.45,5.83,80.09,10.11364019
