Date,Hm0 (m),H 1/10 (m),Hmax (m),Peak Tp (s),Mean Dir (Degree),WS 10m (m/s)
2019-10-01 00:00:00,0.33,0.42,0.54,3.92,84.01,6.123982028
2019-10-01 00:30:00,0.32,0.41,0.525,4.08,178.34,5.99858242
2019-10-01 01:00:00,0.31,0.4,0.51,4.24,272.67,5.776414549
2019-10-01 01:30:00,0.31,0.4,0.51,3.915,145.46,5.897108056
2019-10-01 02:00:00,0.31,0.4,0.51,3.59,18.25,6.01910586
2019-10-01 02:30:00,0.31,0.4,0.51,6.47,86.335,5.894584053
2019-10-01 03:00:00,0.31,0.4,0.51,9.35,154.42,5.915121682
2019-10-01 03:30:00,0.305,0.39,0.495,9.62,153.33,5.64886046
2019-10-01 04:00:00,0.3,0.38,0.48,9.89,152.24,5.4953967
2019-10-01 04:30:00,0.305,0.385,0.49,9.62,157.595,5.574070462
2019-10-01 05:00:00,0.31,0.39,0.5,9.35,162.95,5.924137437
2019-10-01 05:30:00,0.32,0.405,0.515,7.12,125.82,5.999426572
2019-10-01 06:00:00,0.33,0.42,0.53,4.89,88.69,6.120193192
2019-10-01 06:30:00,0.31,0.395,0.505,4.465,130.55,5.986669786
2019-10-01 07:00:00,0.29,0.37,0.48,4.04,172.41,5.845278883
2019-10-01 07:30:00,0.305,0.385,0.5,3.825,181.295,6.044550879
2019-10-01 08:00:00,0.32,0.4,0.52,3.61,190.18,6.141334278
2019-10-01 08:30:00,0.315,0.395,0.51,4.035,125.905,6.211149873
2019-10-01 09:00:00,0.31,0.39,0.5,4.46,61.63,5.889020412
2019-10-01 09:30:00,0.305,0.385,0.495,7.375,108.71,5.756162343
2019-10-01 10:00:00,0.3,0.38,0.49,10.29,155.79,5.767906564
2019-10-01 10:30:00,0.3,0.38,0.49,9.82,168.385,5.931815511
2019-10-01 11:00:00,0.3,0.38,0.49,9.35,180.98,6.004875683
2019-10-01 11:30:00,0.29,0.37,0.47,9.265,172.815,5.824918611
2019-10-01 12:00:00,0.28,0.36,0.45,9.18,164.65,5.758380453
2019-10-01 12:30:00,0.275,0.355,0.45,9.18,166.86,5.800546176
2019-10-01 13:00:00,0.27,0.35,0.45,9.18,169.07,5.832104014
2019-10-01 13:30:00,0.29,0.37,0.475,6.945,131.185,6.289688408
2019-10-01 14:00:00,0.31,0.39,0.5,4.71,93.3,6.635531427
2019-10-01 14:30:00,0.3,0.375,0.48,7.21,132.08,6.367439578
2019-10-01 15:00:00,0.29,0.36,0.46,9.71,170.86,6.219304011
2019-10-01 15:30:00,0.26,0.325,0.41,9.8,175.93,5.732653303
2019-10-01 16:00:00,0.23,0.29,0.36,9.89,181.0,5.255504962
2019-10-01 16:30:00,0.245,0.315,0.39,9.16,160.77,5.806085356
2019-10-01 17:00:00,0.26,0.34,0.42,8.43,140.54,6.277922234
2019-10-01 17:30:00,0.255,0.325,0.405,10.205,162.18,6.056960818
2019-10-01 18:00:00,0.25,0.31,0.39,11.98,183.82,5.99468388
2019-10-01 18:30:00,0.245,0.305,0.385,10.5,176.01,5.910883873
2019-10-01 19:00:00,0.24,0.3,0.38,9.02,168.2,5.800059635
2019-10-01 19:30:00,0.23,0.29,0.37,6.74,137.985,5.785606103
2019-10-01 20:00:00,0.22,0.28,0.36,4.46,107.77,5.696446306
2019-10-01 20:30:00,0.21,0.265,0.34,8.22,138.055,5.569693372
2019-10-01 21:00:00,0.2,0.25,0.32,11.98,168.34,5.277829957
2019-10-01 21:30:00,0.23,0.29,0.37,8.435,148.785,6.183940956
2019-10-01 22:00:00,0.26,0.33,0.42,4.89,129.23,7.26050105
2019-10-01 22:30:00,0.285,0.36,0.46,4.48,82.24,8.042263166
2019-10-01 23:00:00,0.31,0.39,0.5,4.07,35.25,8.826852635
2019-10-01 23:30:00,0.3,0.385,0.49,4.525,33.1,8.882890123
2019-10-02 00:00:00,0.29,0.38,0.48,4.98,30.95,8.657340439
2019-10-02 00:30:00,0.305,0.39,0.5,4.45,118.365,9.267875869
2019-10-02 01:00:00,0.32,0.4,0.52,3.92,205.78,9.602534984
2019-10-02 01:30:00,0.3,0.38,0.49,4.36,162.49,9.022353584
2019-10-02 02:00:00,0.28,0.36,0.46,4.8,119.2,8.352298434
2019-10-02 02:30:00,0.29,0.37,0.475,4.33,128.095,8.806214456
2019-10-02 03:00:00,0.3,0.38,0.49,3.86,136.99,9.064726564
2019-10-02 03:30:00,0.29,0.37,0.475,4.375,142.725,8.881231109
2019-10-02 04:00:00,0.28,0.36,0.46,4.89,148.46,8.404499429
2019-10-02 04:30:00,0.29,0.37,0.47,7.12,163.3,8.859124489
2019-10-02 05:00:00,0.3,0.38,0.48,9.35,178.14,9.231610134
2019-10-02 05:30:00,0.28,0.355,0.45,10.525,175.975,8.727099153
2019-10-02 06:00:00,0.26,0.33,0.42,11.7,173.81,8.1485361
2019-10-02 06:30:00,0.27,0.345,0.44,7.87,124.905,8.584741318
2019-10-02 07:00:00,0.28,0.36,0.46,4.04,76.0,9.048204171
2019-10-02 07:30:00,0.29,0.375,0.475,6.965,120.355,9.526650646
2019-10-02 08:00:00,0.3,0.39,0.49,9.89,164.71,10.04736492
2019-10-02 08:30:00,0.3,0.385,0.485,7.03,141.24,9.974148457
2019-10-02 09:00:00,0.3,0.38,0.48,4.17,117.77,10.01211105
2019-10-02 09:30:00,0.28,0.355,0.455,5.98,138.01,9.489431276
2019-10-02 10:00:00,0.26,0.33,0.43,7.79,158.25,8.801690106
2019-10-02 10:30:00,0.27,0.34,0.44,5.855,171.29,9.097444821
2019-10-02 11:00:00,0.28,0.35,0.45,3.92,184.33,9.242572983
2019-10-02 11:30:00,0.27,0.34,0.44,3.935,154.765,8.912509183
2019-10-02 12:00:00,0.26,0.33,0.43,3.95,125.2,8.844989973
2019-10-02 12:30:00,0.25,0.32,0.41,8.105,146.235,8.509601892
2019-10-02 13:00:00,0.24,0.31,0.39,12.26,167.27,8.111247477
2019-10-02 13:30:00,0.26,0.335,0.425,11.49,174.055,8.783089294
2019-10-02 14:00:00,0.28,0.36,0.46,10.72,180.84,9.446506963
2019-10-02 14:30:00,0.265,0.34,0.435,7.48,138.34,8.831475067
2019-10-02 15:00:00,0.25,0.32,0.41,4.24,95.84,8.433866353
2019-10-02 15:30:00,0.235,0.3,0.38,6.63,132.625,7.803598366
2019-10-02 16:00:00,0.22,0.28,0.35,9.02,169.41,7.035672938
2019-10-02 16:30:00,0.205,0.26,0.33,8.465,160.07,6.589895336
2019-10-02 17:00:00,0.19,0.24,0.31,7.91,150.73,6.069688675
2019-10-02 17:30:00,0.19,0.24,0.305,8.1,144.53,5.915164214
2019-10-02 18:00:00,0.19,0.24,0.3,8.29,138.33,5.822298776
2019-10-02 18:30:00,0.185,0.235,0.3,7.2,147.35,5.870674259
2019-10-02 19:00:00,0.18,0.23,0.3,6.11,156.37,5.895828137
2019-10-02 19:30:00,0.17,0.215,0.28,6.835,151.685,5.472553448
2019-10-02 20:00:00,0.16,0.2,0.26,7.56,147.0,5.182668971
2019-10-02 20:30:00,0.16,0.2,0.26,9.63,157.885,5.261300756
2019-10-02 21:00:00,0.16,0.2,0.26,11.7,168.77,5.182295488
2019-10-02 21:30:00,0.185,0.23,0.3,7.935,257.4,6.032582731
2019-10-02 22:00:00,0.21,0.26,0.34,4.17,346.03,6.804772661
2019-10-02 22:30:00,0.235,0.29,0.38,4.24,229.575,7.674860936
2019-10-02 23:00:00,0.26,0.32,0.42,4.31,113.12,8.522125799
2019-10-02 23:30:00,0.255,0.32,0.415,4.645,80.455,8.325349424
2019-10-03 00:00:00,0.25,0.32,0.41,4.98,47.79,8.404073497
2019-10-03 00:30:00,0.285,0.36,0.465,4.32,194.57,9.446986929
2019-10-03 01:00:00,0.32,0.4,0.52,3.66,341.35,10.62499388
2019-10-03 01:30:00,0.3,0.375,0.485,4.23,190.89,9.845290994
2019-10-03 02:00:00,0.28,0.35,0.45,4.8,40.43,9.216045353
2019-10-03 02:30:00,0.265,0.335,0.43,4.485,106.74,8.742859421
2019-10-03 03:00:00,0.25,0.32,0.41,4.17,173.05,8.266734309
2019-10-03 03:30:00,0.235,0.295,0.38,4.28,166.59,7.7549194
2019-10-03 04:00:00,0.22,0.27,0.35,4.39,160.13,7.197943994
2019-10-03 04:30:00,0.24,0.3,0.385,4.3,146.105,8.108673808
2019-10-03 05:00:00,0.26,0.33,0.42,4.21,132.08,8.93651914
2019-10-03 05:30:00,0.24,0.305,0.39,4.095,145.895,8.339391518
2019-10-03 06:00:00,0.22,0.28,0.36,3.98,159.71,7.75255014
2019-10-03 06:30:00,0.23,0.29,0.375,3.965,159.43,8.055295708
2019-10-03 07:00:00,0.24,0.3,0.39,3.95,159.15,8.439247858
2019-10-03 07:30:00,0.24,0.3,0.39,4.285,106.025,8.5434882
2019-10-03 08:00:00,0.24,0.3,0.39,4.62,52.9,8.604500021
2019-10-03 08:30:00,0.25,0.315,0.41,4.8,106.29,9.09199457
2019-10-03 09:00:00,0.26,0.33,0.43,4.98,159.68,9.61496739
2019-10-03 09:30:00,0.245,0.31,0.4,4.54,124.41,8.978620651
2019-10-03 10:00:00,0.23,0.29,0.37,4.1,89.14,8.269514916
2019-10-03 10:30:00,0.24,0.305,0.39,4.32,101.3,8.657371471
2019-10-03 11:00:00,0.25,0.32,0.41,4.54,113.46,9.118296625
2019-10-03 11:30:00,0.245,0.315,0.405,4.465,101.895,9.07199565
2019-10-03 12:00:00,0.24,0.31,0.4,4.39,90.33,9.032872456
2019-10-03 12:30:00,0.235,0.3,0.39,4.405,104.995,8.705220068
2019-10-03 13:00:00,0.23,0.29,0.38,4.42,119.66,8.455258756
2019-10-03 13:30:00,0.245,0.31,0.4,4.26,194.46,8.920028375
2019-10-03 14:00:00,0.26,0.33,0.42,4.1,269.26,9.413594347
2019-10-03 14:30:00,0.24,0.305,0.385,4.385,190.675,8.588709917
2019-10-03 15:00:00,0.22,0.28,0.35,4.67,112.09,7.819055971
2019-10-03 15:30:00,0.195,0.245,0.31,4.605,88.68,6.969773472
2019-10-03 16:00:00,0.17,0.21,0.27,4.54,65.27,6.020467096
2019-10-03 16:30:00,0.155,0.195,0.25,4.86,115.54,5.523253843
2019-10-03 17:00:00,0.14,0.18,0.23,5.18,165.81,4.96474309
2019-10-03 17:30:00,0.15,0.19,0.245,5.155,158.44,5.299825534
2019-10-03 18:00:00,0.16,0.2,0.26,5.13,151.07,5.624249175
2019-10-03 18:30:00,0.16,0.205,0.265,4.72,156.63,5.71774997
2019-10-03 19:00:00,0.16,0.21,0.27,4.31,162.19,5.789855674
2019-10-03 19:30:00,0.17,0.22,0.285,4.015,176.33,6.016815971
2019-10-03 20:00:00,0.18,0.23,0.3,3.72,190.47,6.345837722
2019-10-03 20:30:00,0.19,0.245,0.315,5.155,156.135,6.606855432
2019-10-03 21:00:00,0.2,0.26,0.33,6.59,121.8,6.940069645
2019-10-03 21:30:00,0.215,0.28,0.355,5.585,131.555,7.400614829
2019-10-03 22:00:00,0.23,0.3,0.38,4.58,141.31,7.939345087
2019-10-03 22:30:00,0.245,0.315,0.4,4.71,114.105,8.347877845
2019-10-03 23:00:00,0.26,0.33,0.42,4.84,86.9,8.548120504
2019-10-03 23:30:00,0.275,0.35,0.445,4.82,86.9,9.173106501
2019-10-04 00:00:00,0.29,0.37,0.47,4.8,86.9,9.559037389
2019-10-04 00:30:00,0.3,0.385,0.49,4.82,70.49,9.91039381
2019-10-04 01:00:00,0.31,0.4,0.51,4.84,54.08,10.08458826
2019-10-04 01:30:00,0.305,0.39,0.5,6.04,113.77,9.844315389
2019-10-04 02:00:00,0.3,0.38,0.49,7.24,173.46,9.534268359
2019-10-04 02:30:00,0.31,0.395,0.51,5.85,154.375,9.740096126
2019-10-04 03:00:00,0.32,0.41,0.53,4.46,135.29,9.895270109
2019-10-04 03:30:00,0.325,0.415,0.535,4.035,141.145,9.923727312
2019-10-04 04:00:00,0.33,0.42,0.54,3.61,147.0,9.911913691
2019-10-04 04:30:00,0.32,0.405,0.52,4.0,145.07,9.532929993
2019-10-04 05:00:00,0.31,0.39,0.5,4.39,143.14,8.935468069
2019-10-04 05:30:00,0.31,0.395,0.505,4.0,98.965,8.830316187
2019-10-04 06:00:00,0.31,0.4,0.51,3.61,54.79,8.700973282
2019-10-04 06:30:00,0.305,0.39,0.5,3.89,74.94,8.50670501
2019-10-04 07:00:00,0.3,0.38,0.49,4.17,95.09,8.426629776
2019-10-04 07:30:00,0.315,0.4,0.515,6.165,113.285,8.621682775
2019-10-04 08:00:00,0.33,0.42,0.54,8.16,131.48,8.974880606
2019-10-04 08:30:00,0.32,0.405,0.52,6.33,140.37,8.530349557
2019-10-04 09:00:00,0.31,0.39,0.5,4.5,149.26,8.07324431
2019-10-04 09:30:00,0.33,0.415,0.53,4.425,131.135,8.540154285
2019-10-04 10:00:00,0.35,0.44,0.56,4.35,113.01,8.789474073
2019-10-04 10:30:00,0.34,0.43,0.55,4.165,127.32,8.625577254
2019-10-04 11:00:00,0.33,0.42,0.54,3.98,141.63,8.511255647
2019-10-04 11:30:00,0.32,0.405,0.525,4.39,108.55,8.127705016
2019-10-04 12:00:00,0.31,0.39,0.51,4.8,75.47,7.839311673
2019-10-04 12:30:00,0.3,0.375,0.485,6.835,97.415,7.428453166
2019-10-04 13:00:00,0.29,0.36,0.46,8.87,119.36,6.968103779
2019-10-04 13:30:00,0.3,0.375,0.48,6.365,117.395,7.17960734
2019-10-04 14:00:00,0.31,0.39,0.5,3.86,115.43,7.388828592
2019-10-04 14:30:00,0.315,0.395,0.505,4.22,140.715,7.484994254
2019-10-04 15:00:00,0.32,0.4,0.51,4.58,166.0,7.602723398
2019-10-04 15:30:00,0.305,0.385,0.485,7.235,167.04,7.130394704
2019-10-04 16:00:00,0.29,0.37,0.46,9.89,168.08,6.836198357
2019-10-04 16:30:00,0.3,0.38,0.48,9.99,180.635,6.790312956
2019-10-04 17:00:00,0.31,0.39,0.5,10.09,193.19,7.120794087
2019-10-04 17:30:00,0.315,0.395,0.505,9.26,178.33,7.496923601
2019-10-04 18:00:00,0.32,0.4,0.51,8.43,163.47,7.774607182
2019-10-04 18:30:00,0.31,0.39,0.495,8.98,162.865,7.506022088
2019-10-04 19:00:00,0.3,0.38,0.48,9.53,162.26,7.24116156
2019-10-04 19:30:00,0.315,0.4,0.51,9.71,174.3,7.589086585
2019-10-04 20:00:00,0.33,0.42,0.54,9.89,186.34,8.317769502
2019-10-04 20:30:00,0.33,0.42,0.54,9.8,176.875,8.260370106
2019-10-04 21:00:00,0.33,0.42,0.54,9.71,167.41,8.321770953
2019-10-04 21:30:00,0.33,0.42,0.535,9.365,158.265,8.282818204
2019-10-04 22:00:00,0.33,0.42,0.53,9.02,149.12,8.252847442
2019-10-04 22:30:00,0.345,0.44,0.555,9.655,160.6,8.453968099
2019-10-04 23:00:00,0.36,0.46,0.58,10.29,172.08,8.850344109
2019-10-04 23:30:00,0.36,0.46,0.58,7.32,153.765,8.833919267
2019-10-05 00:00:00,0.36,0.46,0.58,4.35,135.45,8.914553527
2019-10-05 00:30:00,0.37,0.47,0.595,6.53,148.88,9.1081127
2019-10-05 01:00:00,0.38,0.48,0.61,8.71,162.31,9.238246856
2019-10-05 01:30:00,0.39,0.495,0.63,6.775,144.675,9.445571115
2019-10-05 02:00:00,0.4,0.51,0.65,4.84,127.04,9.863983183
2019-10-05 02:30:00,0.385,0.49,0.625,7.185,145.86,9.357547985
2019-10-05 03:00:00,0.37,0.47,0.6,9.53,164.68,8.934517663
2019-10-05 03:30:00,0.36,0.46,0.585,9.91,164.79,8.629426797
2019-10-05 04:00:00,0.35,0.45,0.57,10.29,164.9,8.347358499
2019-10-05 04:30:00,0.355,0.455,0.575,9.91,163.725,8.593677214
2019-10-05 05:00:00,0.36,0.46,0.58,9.53,162.55,8.648262077
2019-10-05 05:30:00,0.36,0.46,0.585,9.71,156.825,8.701417931
2019-10-05 06:00:00,0.36,0.46,0.59,9.89,151.1,8.714711218
2019-10-05 06:30:00,0.365,0.465,0.595,6.775,117.505,8.693543052
2019-10-05 07:00:00,0.37,0.47,0.6,3.66,83.91,8.794397897
2019-10-05 07:30:00,0.385,0.49,0.625,4.345,81.77,9.169319919
2019-10-05 08:00:00,0.4,0.51,0.65,5.03,79.63,9.298686263
2019-10-05 08:30:00,0.375,0.48,0.61,7.37,109.31,8.407183664
2019-10-05 09:00:00,0.35,0.45,0.57,9.71,138.99,7.705137859
2019-10-05 09:30:00,0.33,0.425,0.54,9.71,142.235,7.407798821
2019-10-05 10:00:00,0.31,0.4,0.51,9.71,145.48,6.90955015
2019-10-05 10:30:00,0.31,0.4,0.51,9.0,148.96,6.91227495
2019-10-05 11:00:00,0.31,0.4,0.51,8.29,152.44,7.020988661
2019-10-05 11:30:00,0.32,0.415,0.525,9.19,159.305,7.14037719
2019-10-05 12:00:00,0.33,0.43,0.54,10.09,166.17,7.063607703
2019-10-05 12:30:00,0.32,0.415,0.525,9.48,166.115,6.832629717
2019-10-05 13:00:00,0.31,0.4,0.51,8.87,166.06,6.522366599
2019-10-05 13:30:00,0.305,0.395,0.5,6.79,189.945,6.299002716
2019-10-05 14:00:00,0.3,0.39,0.49,4.71,213.83,6.177872546
2019-10-05 14:30:00,0.305,0.39,0.495,4.565,161.135,6.180041699
2019-10-05 15:00:00,0.31,0.39,0.5,4.42,108.44,6.183920585
2019-10-05 15:30:00,0.275,0.35,0.445,6.885,136.62,5.374359637
2019-10-05 16:00:00,0.24,0.31,0.39,9.35,164.8,4.667405271
2019-10-05 16:30:00,0.225,0.285,0.36,8.96,159.055,4.250700678
