Date,Hm0 (m),H 1/10 (m),Hmax (m),Peak Tp (s),Mean Dir (Degree),WS 10m (m/s)
2019-12-01 00:00:00,0.11,0.14,0.18,4.31,181.25,2.107127916
2019-12-01 00:30:00,0.12,0.155,0.2,4.015,235.73,2.373152221
2019-12-01 01:00:00,0.13,0.17,0.22,3.72,290.21,2.559927804
2019-12-01 01:30:00,0.135,0.175,0.23,3.805,280.625,2.651121976
2019-12-01 02:00:00,0.14,0.18,0.24,3.89,271.04,2.776820588
2019-12-01 02:30:00,0.17,0.22,0.285,3.935,138.355,3.389006199
2019-12-01 03:00:00,0.2,0.26,0.33,3.98,5.67,3.761526162
2019-12-01 03:30:00,0.235,0.3,0.385,3.965,88.405,4.494488228
2019-12-01 04:00:00,0.27,0.34,0.44,3.95,171.14,5.208104869
2019-12-01 04:30:00,0.26,0.33,0.43,4.17,116.75,5.040002608
2019-12-01 05:00:00,0.25,0.32,0.42,4.39,62.36,4.991929355
2019-12-01 05:30:00,0.25,0.315,0.41,4.265,116.08,4.826290084
2019-12-01 06:00:00,0.25,0.31,0.4,4.14,169.8,4.623700382
2019-12-01 06:30:00,0.24,0.3,0.385,4.06,140.685,4.603387719
2019-12-01 07:00:00,0.23,0.29,0.37,3.98,111.57,4.501194879
2019-12-01 07:30:00,0.22,0.28,0.355,3.81,108.82,4.410563817
2019-12-01 08:00:00,0.21,0.27,0.34,3.64,106.07,4.339423655
2019-12-01 08:30:00,0.23,0.295,0.375,3.905,154.12,4.73665335
2019-12-01 09:00:00,0.25,0.32,0.41,4.17,202.17,5.328505333
2019-12-01 09:30:00,0.235,0.3,0.385,4.17,117.14,5.035845663
2019-12-01 10:00:00,0.22,0.28,0.36,4.17,32.11,4.712658226
2019-12-01 10:30:00,0.225,0.285,0.365,3.88,40.135,4.766327054
2019-12-01 11:00:00,0.23,0.29,0.37,3.59,48.16,4.998496801
2019-12-01 11:30:00,0.225,0.28,0.36,4.17,65.965,4.922139938
2019-12-01 12:00:00,0.22,0.27,0.35,4.75,83.77,4.934755077
2019-12-01 12:30:00,0.22,0.27,0.35,4.195,85.525,4.999799908
2019-12-01 13:00:00,0.22,0.27,0.35,3.64,87.28,4.975886378
2019-12-01 13:30:00,0.23,0.285,0.37,4.385,87.1,5.501734375
2019-12-01 14:00:00,0.24,0.3,0.39,5.13,86.92,5.802990969
2019-12-01 14:30:00,0.23,0.29,0.375,5.105,183.825,5.665525466
2019-12-01 15:00:00,0.22,0.28,0.36,5.08,280.73,5.57677538
2019-12-01 15:30:00,0.2,0.255,0.33,4.875,198.12,5.193567684
2019-12-01 16:00:00,0.18,0.23,0.3,4.67,115.51,4.706638583
2019-12-01 16:30:00,0.185,0.235,0.305,4.44,81.45,4.88838494
2019-12-01 17:00:00,0.19,0.24,0.31,4.21,47.39,4.96529178
2019-12-01 17:30:00,0.185,0.23,0.3,4.05,84.85,4.878348777
2019-12-01 18:00:00,0.18,0.22,0.29,3.89,122.31,4.83838885
