Date,Hm0 (m),H 1/10 (m),Hmax (m),Peak Tp (s),Mean Dir (Degree),WS 10m (m/s)
2019-02-01 00:00:00,0.14,0.18,0.23,3.64,149.17,4.639378096
2019-02-01 00:30:00,0.145,0.185,0.24,3.89,147.185,4.814309155
2019-02-01 01:00:00,0.15,0.19,0.25,4.14,145.2,5.139480393
2019-02-01 01:30:00,0.18,0.225,0.295,3.875,132.24,6.113367945
2019-02-01 02:00:00,0.21,0.26,0.34,3.61,119.28,7.028509495
2019-02-01 02:30:00,0.22,0.275,0.36,3.6,140.795,7.500710426
2019-02-01 03:00:00,0.23,0.29,0.38,3.59,162.31,7.93540616
2019-02-01 03:30:00,0.23,0.295,0.38,3.68,127.125,7.952725714
2019-02-01 04:00:00,0.23,0.3,0.38,3.77,91.94,7.904664718
2019-02-01 04:30:00,0.245,0.315,0.4,4.505,83.235,8.372762698
2019-02-01 05:00:00,0.26,0.33,0.42,5.24,74.53,8.569713243
2019-02-01 05:30:00,0.255,0.325,0.415,4.69,93.795,8.472219902
2019-02-01 06:00:00,0.25,0.32,0.41,4.14,113.06,8.243607463
2019-02-01 06:30:00,0.25,0.32,0.415,4.075,131.795,8.411123343
2019-02-01 07:00:00,0.25,0.32,0.42,4.01,150.53,8.624839827
2019-02-01 07:30:00,0.255,0.325,0.425,4.68,120.78,8.627036906
2019-02-01 08:00:00,0.26,0.33,0.43,5.35,91.03,8.823110368
2019-02-01 08:30:00,0.255,0.325,0.42,4.62,72.815,8.595725125
2019-02-01 09:00:00,0.25,0.32,0.41,3.89,54.6,8.336701546
2019-02-01 09:30:00,0.26,0.33,0.425,4.085,92.09,8.668893049
2019-02-01 10:00:00,0.27,0.34,0.44,4.28,129.58,9.119242484
2019-02-01 10:30:00,0.255,0.32,0.415,4.35,154.84,8.387747019
2019-02-01 11:00:00,0.24,0.3,0.39,4.42,180.1,7.855810078
2019-02-01 11:30:00,0.265,0.33,0.43,4.35,172.775,8.654927209
2019-02-01 12:00:00,0.29,0.36,0.47,4.28,165.45,9.505666992
2019-02-01 12:30:00,0.265,0.335,0.435,4.225,133.84,8.763304016
2019-02-01 13:00:00,0.24,0.31,0.4,4.17,102.23,8.07588445
2019-02-01 13:30:00,0.255,0.325,0.42,4.06,118.46,8.467492943
2019-02-01 14:00:00,0.27,0.34,0.44,3.95,134.69,8.894648731
2019-02-01 14:30:00,0.27,0.34,0.44,4.025,89.99,8.964886202
2019-02-01 15:00:00,0.27,0.34,0.44,4.1,45.29,9.029527776
2019-02-01 15:30:00,0.255,0.325,0.42,4.17,102.615,8.596539516
2019-02-01 16:00:00,0.24,0.31,0.4,4.24,159.94,8.191979056
2019-02-01 16:30:00,0.24,0.305,0.395,4.155,106.85,8.218044866
2019-02-01 17:00:00,0.24,0.3,0.39,4.07,53.76,7.937328186
2019-02-01 17:30:00,0.235,0.295,0.38,4.5,94.75,7.784907918
2019-02-01 18:00:00,0.23,0.29,0.37,4.93,135.74,7.528246127
2019-02-01 18:30:00,0.205,0.26,0.335,4.64,102.125,6.770759966
2019-02-01 19:00:00,0.18,0.23,0.3,4.35,68.51,6.113337709
2019-02-01 19:30:00,0.165,0.21,0.275,4.33,104.43,5.73128132
2019-02-01 20:00:00,0.15,0.19,0.25,4.31,140.35,5.164278108
2019-02-01 20:30:00,0.165,0.205,0.27,4.275,163.075,5.67254158
2019-02-01 21:00:00,0.18,0.22,0.29,4.24,185.8,6.116872831
2019-02-01 21:30:00,0.19,0.235,0.305,4.08,176.685,6.392705158
2019-02-01 22:00:00,0.2,0.25,0.32,3.92,167.57,6.830827654
2019-02-01 22:30:00,0.18,0.225,0.29,3.78,172.895,6.113900226
2019-02-01 23:00:00,0.16,0.2,0.26,3.64,178.22,5.562960667
2019-02-01 23:30:00,0.175,0.22,0.29,3.735,174.535,6.229021267
2019-02-02 00:00:00,0.19,0.24,0.32,3.83,170.85,6.913063094
2019-02-02 00:30:00,0.2,0.25,0.33,3.845,169.145,7.219267535
2019-02-02 01:00:00,0.21,0.26,0.34,3.86,167.44,7.414330567
2019-02-02 01:30:00,0.24,0.3,0.39,3.92,150.85,8.610910776
2019-02-02 02:00:00,0.27,0.34,0.44,3.98,134.26,9.60235975
2019-02-02 02:30:00,0.285,0.36,0.465,4.06,149.305,10.12465765
2019-02-02 03:00:00,0.3,0.38,0.49,4.14,164.35,10.63785747
2019-02-02 03:30:00,0.285,0.365,0.47,4.155,158.89,10.18320121
2019-02-02 04:00:00,0.27,0.35,0.45,4.17,153.43,9.784417948
2019-02-02 04:30:00,0.285,0.365,0.475,4.06,135.42,10.26285171
2019-02-02 05:00:00,0.3,0.38,0.5,3.95,117.41,10.95656971
2019-02-02 05:30:00,0.28,0.36,0.465,3.965,109.33,10.14800009
2019-02-02 06:00:00,0.26,0.34,0.43,3.98,101.25,9.492341666
2019-02-02 06:30:00,0.285,0.365,0.465,3.995,124.995,10.25890274
2019-02-02 07:00:00,0.31,0.39,0.5,4.01,148.74,11.20538386
2019-02-02 07:30:00,0.29,0.365,0.465,3.935,137.425,10.45444948
2019-02-02 08:00:00,0.27,0.34,0.43,3.86,126.11,9.683400375
2019-02-02 08:30:00,0.245,0.315,0.4,4.0,123.96,9.007558834
2019-02-02 09:00:00,0.22,0.29,0.37,4.14,121.81,8.3488509
2019-02-02 09:30:00,0.245,0.32,0.41,4.015,130.675,9.31988794
2019-02-02 10:00:00,0.27,0.35,0.45,3.89,139.54,10.17535185
2019-02-02 10:30:00,0.27,0.345,0.45,4.365,107.755,9.987991214
2019-02-02 11:00:00,0.27,0.34,0.45,4.84,75.97,9.863520456
2019-02-02 11:30:00,0.265,0.335,0.44,4.575,80.49,9.45050968
2019-02-02 12:00:00,0.26,0.33,0.43,4.31,85.01,9.246989688
2019-02-02 12:30:00,0.265,0.335,0.435,4.0,99.795,9.375970899
2019-02-02 13:00:00,0.27,0.34,0.44,3.69,114.58,9.38076411
2019-02-02 13:30:00,0.28,0.355,0.46,3.985,133.96,10.02854271
2019-02-02 14:00:00,0.29,0.37,0.48,4.28,153.34,10.35631186
2019-02-02 14:30:00,0.285,0.36,0.47,3.935,132.535,10.17723096
2019-02-02 15:00:00,0.28,0.35,0.46,3.59,111.73,9.92972739
2019-02-02 15:30:00,0.29,0.365,0.475,4.005,144.3,10.03909641
2019-02-02 16:00:00,0.3,0.38,0.49,4.42,176.87,10.06506472
2019-02-02 16:30:00,0.305,0.39,0.5,4.63,171.21,10.07191384
2019-02-02 17:00:00,0.31,0.4,0.51,4.84,165.55,10.11638015
2019-02-02 17:30:00,0.3,0.38,0.49,4.73,146.52,9.557371744
2019-02-02 18:00:00,0.29,0.36,0.47,4.62,127.49,9.015312978
2019-02-02 18:30:00,0.275,0.345,0.45,5.52,137.635,8.578486397
2019-02-02 19:00:00,0.26,0.33,0.43,6.42,147.78,8.108643426
2019-02-02 19:30:00,0.25,0.315,0.41,6.59,142.92,7.578320163
2019-02-02 20:00:00,0.24,0.3,0.39,6.76,138.06,7.158625977
2019-02-02 20:30:00,0.225,0.285,0.365,7.0,148.115,6.612375489
2019-02-02 21:00:00,0.21,0.27,0.34,7.24,158.17,6.09409134
2019-02-02 21:30:00,0.225,0.29,0.365,6.675,155.53,6.367939411
2019-02-02 22:00:00,0.24,0.31,0.39,6.11,152.89,6.768710946
2019-02-02 22:30:00,0.24,0.31,0.395,5.845,141.805,6.77379809
2019-02-02 23:00:00,0.24,0.31,0.4,5.58,130.72,6.983673049
2019-02-02 23:30:00,0.245,0.315,0.405,4.62,153.175,7.039885321
2019-02-03 00:00:00,0.25,0.32,0.41,3.66,175.63,7.04874882
2019-02-03 00:30:00,0.245,0.315,0.405,4.025,169.145,6.760827372
2019-02-03 01:00:00,0.24,0.31,0.4,4.39,162.66,6.644392368
2019-02-03 01:30:00,0.25,0.32,0.41,4.245,157.585,6.673202614
2019-02-03 02:00:00,0.26,0.33,0.42,4.1,152.51,6.769607063
2019-02-03 02:30:00,0.275,0.345,0.445,3.95,132.61,7.130345658
2019-02-03 03:00:00,0.29,0.36,0.47,3.8,112.71,7.604906625
2019-02-03 03:30:00,0.285,0.355,0.465,4.15,229.27,7.330621362
2019-02-03 04:00:00,0.28,0.35,0.46,4.5,345.83,7.217322487
