Date,Hm0 (m),H 1/10 (m),Hmax (m),Peak Tp (s),Mean Dir (Degree),WS 10m (m/s)
2019-07-01 00:00:00,0.281313286,0.323608383,0.36420742,7.67,164.46,3.642740436
2019-07-01 00:30:00,0.292427069,0.334229731,0.375535866,7.405,171.82,3.983094356
2019-07-01 01:00:00,0.303540853,0.344851078,0.386864312,7.14,179.18,3.965773863
2019-07-01 01:30:00,0.299969017,0.341921589,0.383212199,7.585,178.46,4.03959484
2019-07-01 02:00:00,0.296397181,0.3389921,0.379560087,8.03,177.74,4.075346009
2019-07-01 02:30:00,0.286878254,0.329693054,0.370551834,7.795,174.455,4.191506215
2019-07-01 03:00:00,0.277359326,0.320394009,0.361543581,7.56,171.17,4.20408019
2019-07-01 03:30:00,0.262286461,0.304694704,0.345719264,7.25,176.195,3.898038193
2019-07-01 04:00:00,0.247213595,0.288995398,0.329894947,6.94,181.22,3.714975234
2019-07-01 04:30:00,0.247213595,0.287093143,0.326751665,7.685,176.285,3.694098821
2019-07-01 05:00:00,0.247213595,0.285190887,0.323608383,8.43,171.35,3.676878729
2019-07-01 05:30:00,0.249515035,0.288960381,0.326751665,8.725,168.885,3.769626757
2019-07-01 06:00:00,0.251816474,0.292729875,0.329894947,9.02,166.42,3.722470986
2019-07-01 06:30:00,0.251816474,0.292729875,0.331432599,8.465,167.8,3.831297516
2019-07-01 07:00:00,0.251816474,0.292729875,0.33297025,7.91,169.18,3.89960268
2019-07-01 07:30:00,0.254064269,0.294563528,0.334486214,8.24,169.225,3.884447475
2019-07-01 08:00:00,0.256312064,0.296397181,0.336002178,8.57,169.27,3.952569305
2019-07-01 08:30:00,0.260657519,0.299969017,0.341862368,8.57,167.485,4.173134966
2019-07-01 09:00:00,0.265002974,0.303540853,0.347722558,8.57,165.7,4.246481582
2019-07-01 09:30:00,0.26916424,0.310335439,0.351920463,8.72,167.815,4.327480972
2019-07-01 10:00:00,0.273325506,0.317130024,0.356118367,8.87,169.93,4.355499832
2019-07-01 10:30:00,0.279258197,0.321952427,0.36278013,8.27,170.365,4.402743494
2019-07-01 11:00:00,0.285190887,0.32677483,0.369441892,7.67,170.8,4.302157273
2019-07-01 11:30:00,0.272948379,0.313387415,0.357146485,8.12,170.405,3.99161447
2019-07-01 12:00:00,0.260705871,0.3,0.344851078,8.57,170.01,3.974698358
2019-07-01 12:30:00,0.256261173,0.296364938,0.340426628,8.18,152.69,4.19563012
2019-07-01 13:00:00,0.251816474,0.292729875,0.336002178,7.79,135.37,4.062973635
2019-07-01 13:30:00,0.251816474,0.292729875,0.334486214,8.11,157.75,4.019481163
2019-07-01 14:00:00,0.251816474,0.292729875,0.33297025,8.43,180.13,3.960324314
2019-07-01 14:30:00,0.244738991,0.285044601,0.32668213,8.295,173.435,3.894987176
2019-07-01 15:00:00,0.237661507,0.277359326,0.320394009,8.16,166.74,3.815310449
2019-07-01 15:30:00,0.240079476,0.281275107,0.32358442,7.75,168.615,3.88189487
2019-07-01 16:00:00,0.242497445,0.285190887,0.32677483,7.34,170.49,4.030923926
2019-07-01 16:30:00,0.24485552,0.285190887,0.328334889,7.955,165.04,4.044388729
2019-07-01 17:00:00,0.247213595,0.285190887,0.329894947,8.57,159.59,4.162707978
2019-07-01 17:30:00,0.247213595,0.287093143,0.329894947,8.065,168.74,4.172722112
2019-07-01 18:00:00,0.247213595,0.288995398,0.329894947,7.56,177.89,3.942299702
2019-07-01 18:30:00,0.234786944,0.274850635,0.3167179,6.8,167.455,3.720957384
2019-07-01 19:00:00,0.222360294,0.260705871,0.303540853,6.04,157.02,3.55358562
2019-07-01 19:30:00,0.227529478,0.267015689,0.308677752,6.8,168.21,3.58788695
2019-07-01 20:00:00,0.232698662,0.273325506,0.31381465,7.56,179.4,3.706105337
2019-07-01 20:30:00,0.235180085,0.277319396,0.31710433,7.995,179.19,3.709390711
2019-07-01 21:00:00,0.237661507,0.281313286,0.320394009,8.43,178.98,3.632606338
2019-07-01 21:30:00,0.227314134,0.268812675,0.310197005,8.23,173.38,3.489662531
2019-07-01 22:00:00,0.21696676,0.256312064,0.3,8.03,167.78,3.39141764
2019-07-01 22:30:00,0.214188412,0.25176283,0.294497699,8.03,159.375,3.322722854
2019-07-01 23:00:00,0.211410064,0.247213595,0.288995398,8.03,150.97,3.21610639
2019-07-01 23:30:00,0.196065857,0.232090178,0.274850635,7.0,141.36,3.129125935
2019-07-02 00:00:00,0.180721649,0.21696676,0.260705871,5.97,131.75,2.980061069
2019-07-02 00:30:00,0.187179889,0.224832711,0.26495697,6.82,151.37,3.005579215
2019-07-02 01:00:00,0.193638128,0.232698662,0.269208069,7.67,170.99,3.032492282
2019-07-02 01:30:00,0.180204443,0.219188634,0.255852757,7.305,165.78,2.994709685
2019-07-02 02:00:00,0.166770757,0.205678606,0.242497445,6.94,160.57,2.944743621
2019-07-02 02:30:00,0.177034546,0.21663986,0.25375021,7.25,170.49,3.077280527
2019-07-02 03:00:00,0.187298335,0.227601114,0.265002974,7.56,180.41,3.34891553
2019-07-02 03:30:00,0.177034546,0.21663986,0.256108285,7.675,172.355,3.169130761
2019-07-02 04:00:00,0.166770757,0.205678606,0.247213595,7.79,164.3,3.080530109
2019-07-02 04:30:00,0.170328937,0.211322683,0.249515035,7.85,161.13,3.100309912
2019-07-02 05:00:00,0.173887117,0.21696676,0.251816474,7.91,157.96,3.162326494
2019-07-02 05:30:00,0.170328937,0.211322683,0.24715696,7.91,168.655,3.161034557
2019-07-02 06:00:00,0.166770757,0.205678606,0.242497445,7.91,179.35,3.177800756
2019-07-02 06:30:00,0.189090411,0.22874754,0.26761366,7.525,171.44,3.649037495
2019-07-02 07:00:00,0.211410064,0.251816474,0.292729875,7.14,163.53,4.024764688
2019-07-02 07:30:00,0.216885179,0.256261173,0.298135364,6.7,163.06,4.012424949
2019-07-02 08:00:00,0.222360294,0.260705871,0.303540853,6.26,162.59,4.001626974
2019-07-02 08:30:00,0.224980704,0.26495697,0.308677752,5.305,189.145,4.094383253
2019-07-02 09:00:00,0.227601114,0.269208069,0.31381465,4.35,215.7,4.214577259
2019-07-02 09:30:00,0.21663986,0.258210832,0.301405024,5.745,181.89,4.153476588
2019-07-02 10:00:00,0.205678606,0.247213595,0.288995398,7.14,148.08,4.104666935
2019-07-02 10:30:00,0.205678606,0.247213595,0.287093143,7.35,159.335,4.118706592
2019-07-02 11:00:00,0.205678606,0.247213595,0.285190887,7.56,170.59,4.203164913
2019-07-02 11:30:00,0.219188634,0.260269551,0.301160456,7.205,175.76,4.608235532
2019-07-02 12:00:00,0.232698662,0.273325506,0.317130024,6.85,180.93,4.905400446
2019-07-02 12:30:00,0.219188634,0.260269551,0.301160456,6.72,171.755,4.718217163
2019-07-02 13:00:00,0.205678606,0.247213595,0.285190887,6.59,162.58,4.59687656
2019-07-02 13:30:00,0.208544335,0.249515035,0.288960381,6.63,189.075,4.624083248
2019-07-02 14:00:00,0.211410064,0.251816474,0.292729875,6.67,215.57,4.623814423
2019-07-02 14:30:00,0.214188412,0.256261173,0.296364938,6.715,192.01,4.689734131
2019-07-02 15:00:00,0.21696676,0.260705871,0.3,6.76,168.45,4.879999331
2019-07-02 15:30:00,0.211322683,0.251601658,0.292595444,6.11,168.975,4.831593913
2019-07-02 16:00:00,0.205678606,0.242497445,0.285190887,5.46,169.5,4.869897079
2019-07-02 16:30:00,0.21401945,0.251601658,0.29436587,5.065,128.3,5.167501041
2019-07-02 17:00:00,0.222360294,0.260705871,0.303540853,4.67,87.1,5.427080791
2019-07-02 17:30:00,0.23242887,0.272948379,0.315157842,5.67,130.445,5.737923594
2019-07-02 18:00:00,0.242497445,0.285190887,0.32677483,6.67,173.79,5.960642683
2019-07-02 18:30:00,0.240079476,0.281275107,0.32358442,6.285,150.93,6.001926281
2019-07-02 19:00:00,0.237661507,0.277359326,0.320394009,5.9,128.07,5.994909991
2019-07-02 19:30:00,0.230010901,0.27118115,0.31370806,6.375,141.56,5.826199852
2019-07-02 20:00:00,0.222360294,0.265002974,0.307022111,6.85,155.05,5.894602156
2019-07-02 20:30:00,0.211059874,0.251332241,0.294167699,6.52,161.01,5.733246178
2019-07-02 21:00:00,0.199759454,0.237661507,0.281313286,6.19,166.97,5.442751079
2019-07-02 21:30:00,0.211059874,0.251332241,0.294167699,5.13,134.195,5.616822022
2019-07-02 22:00:00,0.222360294,0.265002974,0.307022111,4.07,101.42,5.888942804
2019-07-02 22:30:00,0.204829315,0.246302044,0.286012542,5.415,135.945,5.640115509
2019-07-02 23:00:00,0.187298335,0.227601114,0.265002974,6.76,170.47,5.294565186
2019-07-02 23:30:00,0.184009992,0.222283937,0.260657519,6.805,174.705,5.25922081
2019-07-03 00:00:00,0.180721649,0.21696676,0.256312064,6.85,178.94,5.152005246
2019-07-03 00:30:00,0.184009992,0.222283937,0.260657519,7.095,175.83,5.258968016
2019-07-03 01:00:00,0.187298335,0.227601114,0.265002974,7.34,172.72,5.322387884
2019-07-03 01:30:00,0.180592726,0.219505589,0.258409724,6.555,169.425,5.217427362
2019-07-03 02:00:00,0.173887117,0.211410064,0.251816474,5.77,166.13,5.176635622
2019-07-03 02:30:00,0.173887117,0.211410064,0.251816474,6.22,163.44,5.205309223
