Date,Power (MW)
2019-09-01 00:00:00,2.097325034
2019-09-01 00:30:00,2.828429739
2019-09-01 01:00:00,3.548761877
2019-09-01 01:30:00,3.653394574
2019-09-01 02:00:00,3.753314005
2019-09-01 02:30:00,4.102192928
2019-09-01 03:00:00,4.486686759
2019-09-01 03:30:00,4.952060427
2019-09-01 04:00:00,3.597747692
2019-09-01 04:30:00,4.906192302
2019-09-01 05:00:00,4.445552406
2019-09-01 05:30:00,4.692364509
2019-09-01 06:00:00,4.95535068
2019-09-01 06:30:00,3.376813205
2019-09-01 07:00:00,3.450602518
2019-09-01 07:30:00,3.792357372
2019-09-01 08:00:00,2.533116807
2019-09-01 08:30:00,3.519607904
2019-09-01 09:00:00,4.509603641
2019-09-01 09:30:00,3.410847843
2019-09-01 10:00:00,3.852898831
2019-09-01 10:30:00,3.819289746
2019-09-01 11:00:00,3.783190116
2019-09-01 11:30:00,3.999641407
2019-09-01 12:00:00,4.215887062
2019-09-01 12:30:00,4.054106136
2019-09-01 13:00:00,3.897301365
2019-09-01 13:30:00,4.020697267
2019-09-01 14:00:00,4.146435941
2019-09-01 14:30:00,3.970083136
2019-09-01 15:00:00,3.787602528
2019-09-01 15:30:00,4.383824966
2019-09-01 16:00:00,3.783124401
2019-09-01 16:30:00,4.118684028
2019-09-01 17:00:00,4.472146564
2019-09-01 17:30:00,4.533360461
2019-09-01 18:00:00,4.590292077
2019-09-01 18:30:00,4.038875513
2019-09-01 19:00:00,3.521773692
2019-09-01 19:30:00,4.5435231
2019-09-01 20:00:00,4.389076064
2019-09-01 20:30:00,4.352147786
2019-09-01 21:00:00,4.304897858
2019-09-01 21:30:00,4.137737121
2019-09-01 22:00:00,3.97289259
2019-09-01 22:30:00,4.880262454
2019-09-01 23:00:00,3.922238556
2019-09-01 23:30:00,3.615419441
2019-09-02 00:00:00,3.315066514
2019-09-02 00:30:00,3.71806945
2019-09-02 01:00:00,4.13131713
2019-09-02 01:30:00,4.375387658
