Date,Power (MW)
2019-03-01 00:00:00,0.319330272
2019-03-01 00:30:00,0.447162917
2019-03-01 01:00:00,0.604914359
2019-03-01 01:30:00,0.715091596
2019-03-01 02:00:00,0.811692664
2019-03-01 02:30:00,1.073580035
2019-03-01 03:00:00,1.366597712
2019-03-01 03:30:00,1.467248941
2019-03-01 04:00:00,1.532385289
2019-03-01 04:30:00,1.244232485
2019-03-01 05:00:00,0.977011647
2019-03-01 05:30:00,1.273683312
2019-03-01 06:00:00,1.607149745
2019-03-01 06:30:00,1.378845225
2019-03-01 07:00:00,1.171602025
2019-03-01 07:30:00,1.759022573
2019-03-01 08:00:00,2.445002971
2019-03-01 08:30:00,2.619693105
2019-03-01 09:00:00,2.803892992
2019-03-01 09:30:00,3.253855606
2019-03-01 10:00:00,3.745045422
2019-03-01 10:30:00,3.082277768
2019-03-01 11:00:00,2.499052018
2019-03-01 11:30:00,2.663186396
2019-03-01 12:00:00,2.802587685
2019-03-01 12:30:00,2.103321713
2019-03-01 13:00:00,1.461877955
2019-03-01 13:30:00,1.429383018
2019-03-01 14:00:00,1.394106416
2019-03-01 14:30:00,2.504543249
2019-03-01 15:00:00,3.625457584
2019-03-01 15:30:00,4.254695152
2019-03-01 16:00:00,4.907412216
2019-03-01 16:30:00,3.361274941
2019-03-01 17:00:00,3.487621833
2019-03-01 17:30:00,4.216764316
2019-03-01 18:00:00,3.350662292
2019-03-01 18:30:00,3.601318713
2019-03-01 19:00:00,3.824089233
2019-03-01 19:30:00,4.206286932
2019-03-01 20:00:00,4.614020363
2019-03-01 20:30:00,4.313553305
2019-03-01 21:00:00,3.92244109
2019-03-01 21:30:00,4.316641854
2019-03-01 22:00:00,4.615823612
2019-03-01 22:30:00,4.444789546
2019-03-01 23:00:00,4.280573432
2019-03-01 23:30:00,3.728691839
2019-03-02 00:00:00,3.188807253
2019-03-02 00:30:00,2.780863214
2019-03-02 01:00:00,2.409416457
2019-03-02 01:30:00,3.173657191
2019-03-02 02:00:00,4.074756507
2019-03-02 02:30:00,2.964860494
2019-03-02 03:00:00,1.848999642
2019-03-02 03:30:00,1.73653019
2019-03-02 04:00:00,1.629689715
2019-03-02 04:30:00,1.765576268
2019-03-02 05:00:00,1.909869056
2019-03-02 05:30:00,1.932149636
2019-03-02 06:00:00,1.955958617
2019-03-02 06:30:00,2.972844851
2019-03-02 07:00:00,3.863831622
2019-03-02 07:30:00,3.84594997
2019-03-02 08:00:00,3.79639278
2019-03-02 08:30:00,2.888778084
2019-03-02 09:00:00,1.908064869
2019-03-02 09:30:00,2.06489808
2019-03-02 10:00:00,2.224412612
2019-03-02 10:30:00,2.11379836
2019-03-02 11:00:00,2.008514054
2019-03-02 11:30:00,2.168234647
2019-03-02 12:00:00,2.313545854
2019-03-02 12:30:00,2.026709625
2019-03-02 13:00:00,1.756368314
2019-03-02 13:30:00,1.748702128
2019-03-02 14:00:00,1.74001491
2019-03-02 14:30:00,1.899538439
2019-03-02 15:00:00,2.067188503
2019-03-02 15:30:00,1.770903421
2019-03-02 16:00:00,1.504128083
2019-03-02 16:30:00,1.584547906
2019-03-02 17:00:00,1.669318903
2019-03-02 17:30:00,1.533885377
2019-03-02 18:00:00,1.401641677
2019-03-02 18:30:00,2.241779199
2019-03-02 19:00:00,3.180716157
2019-03-02 19:30:00,2.175452388
2019-03-02 20:00:00,1.315689353
2019-03-02 20:30:00,1.146958041
2019-03-02 21:00:00,0.919478798
2019-03-02 21:30:00,0.841184065
2019-03-02 22:00:00,0.753274474
2019-03-02 22:30:00,0.72732174
2019-03-02 23:00:00,0.702412661
2019-03-02 23:30:00,0.72044739
2019-03-03 00:00:00,0.738485316
2019-03-03 00:30:00,0.679007666
2019-03-03 01:00:00,0.620075942
2019-03-03 01:30:00,0.771381355
2019-03-03 02:00:00,0.945287816
2019-03-03 02:30:00,0.902358249
2019-03-03 03:00:00,0.861154111
2019-03-03 03:30:00,0.743539481
2019-03-03 04:00:00,0.636418105
2019-03-03 04:30:00,0.655672344
2019-03-03 05:00:00,0.670948723
2019-03-03 05:30:00,0.613323616
2019-03-03 06:00:00,0.557867087
2019-03-03 06:30:00,0.496543364
2019-03-03 07:00:00,0.439382104
2019-03-03 07:30:00,0.351790054
2019-03-03 08:00:00,0.276639872
2019-03-03 08:30:00,0.307452375
2019-03-03 09:00:00,0.332499463
2019-03-03 09:30:00,0.291178604
2019-03-03 10:00:00,0.249854293
2019-03-03 10:30:00,0.241592287
2019-03-03 11:00:00,0.232158591
2019-03-03 11:30:00,0.256027599
2019-03-03 12:00:00,0.281335773
2019-03-03 12:30:00,0.335395913
2019-03-03 13:00:00,0.38948676
2019-03-03 13:30:00,0.390683581
2019-03-03 14:00:00,0.369002138
2019-03-03 14:30:00,0.62206454
2019-03-03 15:00:00,0.963003703
2019-03-03 15:30:00,1.027316628
2019-03-03 16:00:00,1.086364812
2019-03-03 16:30:00,1.016349229
2019-03-03 17:00:00,0.944047149
2019-03-03 17:30:00,0.888173373
2019-03-03 18:00:00,0.833032518
2019-03-03 18:30:00,0.791970123
2019-03-03 19:00:00,0.747435728
2019-03-03 19:30:00,0.745259973
2019-03-03 20:00:00,0.735804794
2019-03-03 20:30:00,0.737157726
2019-03-03 21:00:00,0.736499911
2019-03-03 21:30:00,0.695536225
2019-03-03 22:00:00,0.654556734
2019-03-03 22:30:00,0.739368856
2019-03-03 23:00:00,0.828280349
2019-03-03 23:30:00,0.795509981
2019-03-04 00:00:00,0.76225207
2019-03-04 00:30:00,0.813310288
2019-03-04 01:00:00,0.857141054
2019-03-04 01:30:00,0.938522387
2019-03-04 02:00:00,1.023668145
2019-03-04 02:30:00,1.045325747
2019-03-04 03:00:00,1.053199284
2019-03-04 03:30:00,0.896701646
2019-03-04 04:00:00,0.715471247
2019-03-04 04:30:00,0.785961117
2019-03-04 05:00:00,0.859446129
2019-03-04 05:30:00,0.728529921
2019-03-04 06:00:00,0.607566924
2019-03-04 06:30:00,0.604297429
2019-03-04 07:00:00,0.591488977
2019-03-04 07:30:00,0.405188048
2019-03-04 08:00:00,0.255857196
2019-03-04 08:30:00,0.278320885
2019-03-04 09:00:00,0.299923442
2019-03-04 09:30:00,0.33090485
2019-03-04 10:00:00,0.363701737
2019-03-04 10:30:00,0.261960886
2019-03-04 11:00:00,0.181374911
2019-03-04 11:30:00,0.204679617
2019-03-04 12:00:00,0.229648102
2019-03-04 12:30:00,0.284669256
2019-03-04 13:00:00,0.346475148
2019-03-04 13:30:00,0.36519122
2019-03-04 14:00:00,0.38436216
2019-03-04 14:30:00,0.584196843
2019-03-04 15:00:00,0.833519545
2019-03-04 15:30:00,0.970320454
2019-03-04 16:00:00,1.105204434
2019-03-04 16:30:00,1.199813391
2019-03-04 17:00:00,1.293606235
2019-03-04 17:30:00,0.996587477
2019-03-04 18:00:00,0.748125264
2019-03-04 18:30:00,0.9408358
2019-03-04 19:00:00,1.156162136
2019-03-04 19:30:00,1.045320574
2019-03-04 20:00:00,0.939915295
2019-03-04 20:30:00,0.80416896
2019-03-04 21:00:00,0.681081267
2019-03-04 21:30:00,0.82478212
2019-03-04 22:00:00,0.979188874
2019-03-04 22:30:00,0.905704542
2019-03-04 23:00:00,0.830288582
2019-03-04 23:30:00,0.857873875
2019-03-05 00:00:00,0.870061979
2019-03-05 00:30:00,1.034034599
2019-03-05 01:00:00,1.213448235
2019-03-05 01:30:00,1.135105999
2019-03-05 02:00:00,1.059186274
2019-03-05 02:30:00,1.082651133
2019-03-05 03:00:00,1.107544639
2019-03-05 03:30:00,1.049271199
2019-03-05 04:00:00,0.993970628
2019-03-05 04:30:00,0.9368759
2019-03-05 05:00:00,0.878996962
2019-03-05 05:30:00,0.738185624
2019-03-05 06:00:00,0.610389794
2019-03-05 06:30:00,0.57821111
2019-03-05 07:00:00,0.542409935
