Date,Power (MW)
2019-02-01 00:00:00,0.242842721
2019-02-01 00:30:00,0.278336861
2019-02-01 01:00:00,0.317279968
2019-02-01 01:30:00,0.425634076
2019-02-01 02:00:00,0.53862711
2019-02-01 02:30:00,0.595669266
2019-02-01 03:00:00,0.655429189
2019-02-01 03:30:00,0.677173322
2019-02-01 04:00:00,0.698910541
2019-02-01 04:30:00,0.940899289
2019-02-01 05:00:00,1.223008823
2019-02-01 05:30:00,1.056570083
2019-02-01 06:00:00,0.898931189
2019-02-01 06:30:00,0.888918533
2019-02-01 07:00:00,0.8790427
2019-02-01 07:30:00,1.062764115
2019-02-01 08:00:00,1.259314278
2019-02-01 08:30:00,1.045267869
2019-02-01 09:00:00,0.845143804
2019-02-01 09:30:00,0.957321132
2019-02-01 10:00:00,1.079887483
2019-02-01 10:30:00,0.97259177
2019-02-01 11:00:00,0.870545325
2019-02-01 11:30:00,1.047598857
2019-02-01 12:00:00,1.238821008
2019-02-01 12:30:00,1.02858755
2019-02-01 13:00:00,0.841034874
2019-02-01 13:30:00,0.917827524
2019-02-01 14:00:00,0.995221238
2019-02-01 14:30:00,1.01456522
2019-02-01 15:00:00,1.033889569
2019-02-01 15:30:00,0.943460899
2019-02-01 16:00:00,0.85577974
2019-02-01 16:30:00,0.829467995
2019-02-01 17:00:00,0.802023861
2019-02-01 17:30:00,0.849782494
2019-02-01 18:00:00,0.890785502
2019-02-01 18:30:00,0.667645794
2019-02-01 19:00:00,0.48498448
2019-02-01 19:30:00,0.403929179
2019-02-01 20:00:00,0.330361061
2019-02-01 20:30:00,0.392209966
2019-02-01 21:00:00,0.458793936
2019-02-01 21:30:00,0.494851742
2019-02-01 22:00:00,0.530292176
2019-02-01 22:30:00,0.413132345
2019-02-01 23:00:00,0.314012234
2019-02-01 23:30:00,0.390338168
2019-02-02 00:00:00,0.477208738
2019-02-02 00:30:00,0.526140123
2019-02-02 01:00:00,0.57734034
2019-02-02 01:30:00,0.775753043
2019-02-02 02:00:00,1.007237244
2019-02-02 02:30:00,1.150567378
2019-02-02 03:00:00,1.306196928
2019-02-02 03:30:00,1.18905782
2019-02-02 04:00:00,1.077688035
2019-02-02 04:30:00,1.166088944
2019-02-02 05:00:00,1.256184549
2019-02-02 05:30:00,1.099206918
2019-02-02 06:00:00,0.953751319
2019-02-02 06:30:00,1.140231821
2019-02-02 07:00:00,1.346572879
2019-02-02 07:30:00,1.149284968
2019-02-02 08:00:00,0.970879988
2019-02-02 08:30:00,0.838768507
2019-02-02 09:00:00,0.711372772
2019-02-02 09:30:00,0.855901444
2019-02-02 10:00:00,1.007780033
2019-02-02 10:30:00,1.122099062
2019-02-02 11:00:00,1.235047339
2019-02-02 11:30:00,1.122389611
2019-02-02 12:00:00,1.017215161
2019-02-02 12:30:00,0.977561066
2019-02-02 13:00:00,0.932551608
2019-02-02 13:30:00,1.093423844
2019-02-02 14:00:00,1.268728999
2019-02-02 14:30:00,1.119019554
2019-02-02 15:00:00,0.978154502
2019-02-02 15:30:00,1.173954359
2019-02-02 16:00:00,1.389576078
2019-02-02 16:30:00,1.512695094
2019-02-02 17:00:00,1.64252968
2019-02-02 17:30:00,1.482327885
2019-02-02 18:00:00,1.333129325
2019-02-02 18:30:00,1.439217138
2019-02-02 19:00:00,1.504392768
2019-02-02 19:30:00,1.414743997
2019-02-02 20:00:00,1.325553821
2019-02-02 20:30:00,1.208828147
2019-02-02 21:00:00,1.092337141
2019-02-02 21:30:00,1.1600974
2019-02-02 22:00:00,1.213101885
2019-02-02 22:30:00,1.164843622
2019-02-02 23:00:00,1.117653344
2019-02-02 23:30:00,0.960302201
2019-02-03 00:00:00,0.78871876
2019-02-03 00:30:00,0.835143267
2019-02-03 01:00:00,0.87740423
2019-02-03 01:30:00,0.912601416
2019-02-03 02:00:00,0.946093018
2019-02-03 02:30:00,1.017161931
2019-02-03 03:00:00,1.086807177
2019-02-03 03:30:00,1.148335624
2019-02-03 04:00:00,1.205345892
2019-02-03 04:30:00,1.180856179
2019-02-03 05:00:00,1.141361763
2019-02-03 05:30:00,1.274958857
2019-02-03 06:00:00,1.417384083
2019-02-03 06:30:00,1.485356216
2019-02-03 07:00:00,1.551805929
2019-02-03 07:30:00,1.423733129
2019-02-03 08:00:00,1.298668482
2019-02-03 08:30:00,1.228788109
2019-02-03 09:00:00,1.159245692
2019-02-03 09:30:00,1.058975591
2019-02-03 10:00:00,0.958239734
2019-02-03 10:30:00,1.315924606
2019-02-03 11:00:00,1.736466942
2019-02-03 11:30:00,1.784412131
2019-02-03 12:00:00,1.77710391
2019-02-03 12:30:00,1.421614117
2019-02-03 13:00:00,1.117074143
2019-02-03 13:30:00,1.039512885
2019-02-03 14:00:00,0.963097257
2019-02-03 14:30:00,1.088498076
2019-02-03 15:00:00,1.223813283
2019-02-03 15:30:00,1.317584128
2019-02-03 16:00:00,1.412193345
2019-02-03 16:30:00,1.369279755
2019-02-03 17:00:00,1.31896687
2019-02-03 17:30:00,1.304470673
2019-02-03 18:00:00,1.266676647
2019-02-03 18:30:00,1.417596669
2019-02-03 19:00:00,1.574608963
2019-02-03 19:30:00,1.057138367
2019-02-03 20:00:00,0.664034799
2019-02-03 20:30:00,0.710991645
2019-02-03 21:00:00,0.728465431
2019-02-03 21:30:00,0.929022835
2019-02-03 22:00:00,1.158397537
2019-02-03 22:30:00,1.220190167
2019-02-03 23:00:00,1.280138423
2019-02-03 23:30:00,1.260423228
2019-02-04 00:00:00,1.233903633
2019-02-04 00:30:00,1.155790128
2019-02-04 01:00:00,1.070640712
2019-02-04 01:30:00,1.385534738
2019-02-04 02:00:00,1.743383833
2019-02-04 02:30:00,1.94110367
2019-02-04 03:00:00,2.151841708
2019-02-04 03:30:00,1.936381948
2019-02-04 04:00:00,1.731905522
2019-02-04 04:30:00,1.749420137
2019-02-04 05:00:00,1.742863351
2019-02-04 05:30:00,1.539212616
2019-02-04 06:00:00,1.347855375
2019-02-04 06:30:00,1.691511135
2019-02-04 07:00:00,2.018956992
2019-02-04 07:30:00,1.693359008
2019-02-04 08:00:00,1.374495852
2019-02-04 08:30:00,1.317610395
2019-02-04 09:00:00,1.25984145
2019-02-04 09:30:00,1.499217109
2019-02-04 10:00:00,1.768048369
2019-02-04 10:30:00,1.62974235
2019-02-04 11:00:00,1.496790311
2019-02-04 11:30:00,1.406506238
2019-02-04 12:00:00,1.316658835
2019-02-04 12:30:00,1.271135135
2019-02-04 13:00:00,1.22611339
2019-02-04 13:30:00,1.460635485
2019-02-04 14:00:00,1.717088399
2019-02-04 14:30:00,1.556801884
2019-02-04 15:00:00,1.40813559
2019-02-04 15:30:00,1.25211263
2019-02-04 16:00:00,1.106659301
2019-02-04 16:30:00,1.141360958
2019-02-04 17:00:00,1.175909176
2019-02-04 17:30:00,1.418339286
2019-02-04 18:00:00,1.620667814
2019-02-04 18:30:00,1.216482533
2019-02-04 19:00:00,0.887479462
2019-02-04 19:30:00,0.861644668
2019-02-04 20:00:00,0.821350275
2019-02-04 20:30:00,0.718684455
2019-02-04 21:00:00,0.624567404
2019-02-04 21:30:00,0.600911518
2019-02-04 22:00:00,0.557993722
2019-02-04 22:30:00,0.57188582
2019-02-04 23:00:00,0.574416381
2019-02-04 23:30:00,0.770811598
2019-02-05 00:00:00,1.006888352
2019-02-05 00:30:00,0.780741793
2019-02-05 01:00:00,0.573484358
2019-02-05 01:30:00,0.81272743
2019-02-05 02:00:00,1.085595238
2019-02-05 02:30:00,1.057661809
2019-02-05 03:00:00,1.026362786
2019-02-05 03:30:00,0.979193218
2019-02-05 04:00:00,0.933179242
2019-02-05 04:30:00,1.109760235
2019-02-05 05:00:00,1.304505244
2019-02-05 05:30:00,1.258453476
2019-02-05 06:00:00,1.212104133
2019-02-05 06:30:00,1.235079467
2019-02-05 07:00:00,1.2584321
2019-02-05 07:30:00,1.125329491
2019-02-05 08:00:00,0.990732719
2019-02-05 08:30:00,0.969245818
2019-02-05 09:00:00,0.943552318
2019-02-05 09:30:00,0.968197375
2019-02-05 10:00:00,0.992566353
2019-02-05 10:30:00,1.067647489
2019-02-05 11:00:00,1.146334026
2019-02-05 11:30:00,1.259297792
2019-02-05 12:00:00,1.379972786
2019-02-05 12:30:00,1.15651451
2019-02-05 13:00:00,0.956866809
2019-02-05 13:30:00,1.11732861
2019-02-05 14:00:00,1.284715992
2019-02-05 14:30:00,1.079723524
2019-02-05 15:00:00,0.897040261
2019-02-05 15:30:00,0.853505058
2019-02-05 16:00:00,0.810729307
2019-02-05 16:30:00,0.841640064
2019-02-05 17:00:00,0.872362413
