Date,Power (MW)
2019-01-01 00:00:00,1.992256728
2019-01-01 00:30:00,1.736813627
2019-01-01 01:00:00,1.313339951
2019-01-01 01:30:00,1.792517511
2019-01-01 02:00:00,2.149578792
2019-01-01 02:30:00,1.855661294
2019-01-01 03:00:00,1.588708179
2019-01-01 03:30:00,1.514419023
2019-01-01 04:00:00,1.440225505
2019-01-01 04:30:00,1.753518621
2019-01-01 05:00:00,2.109361398
2019-01-01 05:30:00,2.062114342
2019-01-01 06:00:00,2.013870022
2019-01-01 06:30:00,2.09249941
2019-01-01 07:00:00,2.170606468
2019-01-01 07:30:00,2.363501359
2019-01-01 08:00:00,2.563564702
2019-01-01 08:30:00,2.725990141
2019-01-01 09:00:00,2.895668415
2019-01-01 09:30:00,3.188680462
2019-01-01 10:00:00,3.49798201
2019-01-01 10:30:00,3.197800896
2019-01-01 11:00:00,2.914472379
2019-01-01 11:30:00,3.174291685
2019-01-01 12:00:00,3.439975492
2019-01-01 12:30:00,3.013068138
2019-01-01 13:00:00,2.620943893
2019-01-01 13:30:00,3.049525423
2019-01-01 14:00:00,3.52088524
2019-01-01 14:30:00,3.081473792
2019-01-01 15:00:00,2.670538638
2019-01-01 15:30:00,1.983575966
2019-01-01 16:00:00,1.24334233
2019-01-01 16:30:00,1.571292638
2019-01-01 17:00:00,1.95197465
2019-01-01 17:30:00,2.690489303
2019-01-01 18:00:00,3.38603295
2019-01-01 18:30:00,2.95497944
2019-01-01 19:00:00,2.552886203
2019-01-01 19:30:00,3.23517748
2019-01-01 20:00:00,4.027519906
2019-01-01 20:30:00,3.334374178
2019-01-01 21:00:00,2.718048541
2019-01-01 21:30:00,2.722200496
2019-01-01 22:00:00,2.720174988
2019-01-01 22:30:00,2.540030303
2019-01-01 23:00:00,2.354950307
2019-01-01 23:30:00,2.033719229
2019-01-02 00:00:00,1.741479802
2019-01-02 00:30:00,1.693773513
2019-01-02 01:00:00,1.64361761
2019-01-02 01:30:00,1.818716358
2019-01-02 02:00:00,2.003606557
2019-01-02 02:30:00,2.028288646
2019-01-02 03:00:00,2.054762466
2019-01-02 03:30:00,1.727755796
2019-01-02 04:00:00,1.437919729
2019-01-02 04:30:00,1.741891462
2019-01-02 05:00:00,2.082939596
2019-01-02 05:30:00,2.344666361
2019-01-02 06:00:00,2.627275685
2019-01-02 06:30:00,2.71451675
2019-01-02 07:00:00,2.791208388
2019-01-02 07:30:00,3.489110778
2019-01-02 08:00:00,4.264673406
2019-01-02 08:30:00,3.949296616
2019-01-02 09:00:00,3.649376853
2019-01-02 09:30:00,3.360123112
2019-01-02 10:00:00,3.086265639
2019-01-02 10:30:00,3.229837791
2019-01-02 11:00:00,3.363509768
2019-01-02 11:30:00,3.164654261
2019-01-02 12:00:00,2.96488373
2019-01-02 12:30:00,2.840332348
2019-01-02 13:00:00,2.718296194
2019-01-02 13:30:00,2.647630505
2019-01-02 14:00:00,2.57972724
2019-01-02 14:30:00,3.282363073
2019-01-02 15:00:00,4.10506716
2019-01-02 15:30:00,3.457808732
2019-01-02 16:00:00,2.872575049
2019-01-02 16:30:00,3.343388774
2019-01-02 17:00:00,3.862285012
2019-01-02 17:30:00,4.215798328
2019-01-02 18:00:00,4.59205025
2019-01-02 18:30:00,4.105445044
2019-01-02 19:00:00,3.653301318
2019-01-02 19:30:00,3.584252184
2019-01-02 20:00:00,3.519177585
